frames,Rg,degrees,mean_curv,max_curv_monomer,max_curv,min_curv_monomer,min_curv,turning_number,winding_number,density
145.0,13.308220367124946,-141.463481189389,27.88169,2,113.4977,38,0.25677,0.1255996763471927,-0.1489660151392121,0.08986284509240554
146.0,13.333181940675908,-155.0748650693974,25.19671,2,110.32406,7,0.29581,0.0683255166407308,-0.186325396916691,0.08952668853014209
147.0,13.313517520331056,-143.0453879062017,26.95128,2,116.22012,27,0.93904,0.0821114273743022,-0.1529005674966041,0.08979135045413096
148.0,13.286872811536483,-154.11421567559572,28.39226,2,109.39565,25,0.76878,0.0327061963039871,-0.1835906315846751,0.09015183606611366
149.0,13.272772897271532,-149.452116871675,30.08184,2,120.18796,17,2.69271,0.0335536175422712,-0.1704704246688149,0.0903434777589895
150.0,13.263130133957546,-160.34617594194668,26.9192,2,114.19046,38,0.66086,-0.0410995630710572,-0.2008431796342694,0.09047489130111588
151.0,13.219614937421351,-141.99201718098016,28.19604,2,111.67356,39,1.37194,-0.0032960477512351,-0.1508303679022556,0.09107150663200972
152.0,13.209146531496083,-141.4768966203814,27.52344,2,110.18257,36,1.28354,-0.0381722501016204,-0.1495257649844895,0.09121591433879096
153.0,13.235096383460464,-143.7850989846416,25.93828,2,114.25391,28,0.30098,-0.0107867667461949,-0.1553863649740242,0.09085857368992131
154.0,13.236717168550344,-123.76434951515832,26.33411,2,120.93343,30,1.14967,0.0492363886328368,-0.1005529422422784,0.09083632448661765
155.0,13.23691279484557,-118.34618071446656,26.01211,2,102.51238,43,0.60166,0.0199380461696009,-0.0860213050781621,0.09083363959436266
156.0,13.21770425793025,-128.8074057651066,26.17672,2,101.36243,22,0.03767,-0.0262184241333562,-0.1148425863323475,0.09109783813911689
157.0,13.2273354992537,-117.29575833297945,27.92307,2,97.66704,30,2.03595,0.0235115596424938,-0.083680723841427,0.09096522400269733
158.0,13.254763501052944,-119.48172151189708,27.72835,4,92.92897,5,1.25781,0.0271267341952918,-0.0899301802395591,0.09058914594003038
159.0,13.291414939638589,-113.13586565610149,28.18311,2,85.94194,48,0.19723,0.0019882600978816,-0.0732947304999458,0.09009023070308889
